dataset,id,sent_i,n_words,n_class_hits,n_attr_hits,n_rel_endpoint_hits,n_tokens_spacy
kaiser,AirTravel,0,16,0,6,0,20
kaiser,AirTravel,1,14,1,3,1,17
kaiser,AirTravel,2,15,1,2,1,17
kaiser,AirTravel,3,8,1,0,1,9
kaiser,AirTravel,4,17,2,4,2,20
kaiser,AirTravel,5,10,0,1,0,13
kaiser,AirTravel,6,12,1,0,1,13
kaiser,AirTravel,7,10,0,2,0,12
kaiser,AirTravel,8,8,2,1,2,9
kaiser,AirTravel,9,24,1,1,1,27
kaiser,AirTravel,10,8,3,2,3,10
kaiser,AirTravel,11,12,1,1,1,15
kaiser,AirTravel,12,8,2,1,2,9
kaiser,AirTravel,13,21,2,3,2,24
kaiser,AirTravel,14,11,0,3,0,15
kaiser,AirTravel,15,7,1,1,1,8
kaiser,AirTravel,16,18,1,0,1,21
kaiser,AirTravel,17,11,0,3,0,14
kaiser,AirTravel,18,7,1,0,1,8
kaiser,AirTravel,19,10,2,1,2,11
kaiser,AlphaInsurance,0,16,1,1,1,18
kaiser,AlphaInsurance,1,18,3,0,3,20
kaiser,AlphaInsurance,2,31,3,0,3,35
kaiser,AlphaInsurance,3,52,5,2,5,57
kaiser,AlphaInsurance,4,34,3,1,3,37
kaiser,AlphaInsurance,5,24,2,0,2,13
kaiser,AlphaInsurance,6,35,2,4,2,16
kaiser,AlphaInsurance,7,14,4,1,4,41
kaiser,AlphaInsurance,8,11,1,0,1,16
kaiser,AlphaInsurance,9,13,1,1,1,28
kaiser,AlphaInsurance,10,20,1,3,1,22
kaiser,AlphaInsurance,11,17,2,0,2,19
kaiser,AlphaInsurance,12,18,2,3,2,22
kaiser,AlphaInsurance,13,20,2,2,2,23
kaiser,AlphaInsurance,14,22,2,3,2,24
kaiser,BankAccount,0,8,1,0,1,9
kaiser,BankAccount,1,10,0,0,0,12
kaiser,BankAccount,2,7,1,1,1,8
kaiser,BankAccount,3,14,1,3,1,15
kaiser,BankAccount,4,8,1,1,1,9
kaiser,BankAccount,5,11,1,0,1,12
kaiser,BankAccount,6,12,3,1,3,13
kaiser,BankAccount,7,12,1,0,1,14
kaiser,BankAccount,8,17,1,3,1,18
kaiser,BankAccount,9,10,0,2,0,11
kaiser,Boeing,0,6,1,0,1,8
kaiser,Boeing,1,30,1,0,1,36
kaiser,Boeing,2,16,0,0,0,20
kaiser,Boeing,3,23,2,1,2,25
kaiser,Boeing,4,16,1,2,1,19
kaiser,Boeing,5,28,3,6,3,35
kaiser,Boeing,6,8,1,1,1,9
kaiser,Boeing,7,9,1,1,1,10
kaiser,Boeing,8,25,0,0,0,29
kaiser,Boeing,9,19,1,0,1,22
kaiser,Boeing,10,34,1,0,1,37
kaiser,BuildingManagement,0,30,2,5,3,31
kaiser,BuildingManagement,1,38,2,6,4,49
kaiser,BuildingManagement,2,6,1,1,1,7
kaiser,BuildingManagement,3,22,2,3,2,25
kaiser,BuildingManagement,4,13,0,1,0,26
kaiser,BuildingManagement,5,11,2,0,2,21
kaiser,BuildingManagement,6,18,1,2,1,9
kaiser,BuildingManagement,7,7,0,2,0,23
kaiser,BuildingManagement,8,21,3,4,3,22
kaiser,BuildingManagement,9,20,1,3,1,17
kaiser,BuildingManagement,10,15,4,0,4,24
kaiser,BuildingManagement,11,22,0,1,0,22
kaiser,BuildingManagement,12,18,1,0,1,20
kaiser,BuildingManagement,13,18,1,1,1,5
kaiser,BuildingManagement,14,4,0,0,0,13
kaiser,BuildingManagement,15,12,1,3,1,13
kaiser,BuildingManagement,16,11,1,0,1,11
kaiser,BuildingManagement,17,10,0,0,1,9
kaiser,BuildingManagement,18,8,0,0,0,14
kaiser,BuildingManagement,19,12,0,1,0,19
kaiser,BuildingManagement,20,16,0,1,0,0
kaiser,BusTransportationManagementSystem,0,25,1,0,1,31
kaiser,BusTransportationManagementSystem,1,18,1,2,1,19
kaiser,BusTransportationManagementSystem,2,25,2,3,2,27
kaiser,BusTransportationManagementSystem,3,23,2,3,2,26
